bankofamerica,Bank of America,"Bank of America was part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.[^1]
Don't bank with Bank of America
Don't work for Bank of America
Don't invest with Bank of America
[^1]: https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/",avoid,operations_in_israel,global,finance,,https://icons.veryicon.com/png/o/business/bank-logo-collection/bank-of-america-logo.png,,,
bankofmontreal,Bank of Montreal,"Bank of Montreal lent $90 million as part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.[^1]
Don't bank with Bank of Montreal
Don't work for Bank of Montreal
Don't invest with Bank of Montreal
[^1]: https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/",avoid,operations_in_israel,global,finance,,https://bayviewleasidebia.com/wp-content/uploads/2022/08/BMO.png,,,
barbican,Barbican,"Coca-Cola Company which owns Barbican, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.[^1]
Don't buy Barbican.
Don't sell Barbican
Don't work for the Coca-Cola Company
[^1]: https://www.foa.org.uk/campaign/boycottcocacola",avoid,operations_in_settlements,global,drinks,,https://m.media-amazon.com/images/S/stores-image-uploads-eu-prod/9/AmazonStores/A21TJRUUN4KGV/e6a4dc4396b5e27b1abc99ce5dacb555.w600.h600.png,,"Supermarket own brand products, eg. Morrisons
Barr Drinks (owner of Irn Bru)",
barclays,Barclays,"Barclays invests in companies selling arms and military equipment to Israel that have been used in the oppression of Palestinians[^1]
Don't bank with Barclays.
Close your Barclays accounts.
Don't use Barclays lending options.
Cancel your Barclaycard.
Don't work for Barclays.
[^1]: https://www.ethicalconsumer.org/money-finance/israel-deadly-investments",avoid,operations_in_israel,global,"insurance, finance",,https://www.openbanking.org.uk/wp-content/uploads/2021/04/Barclays-Bank-logo.png,,"TSB Bank
Monzo Bank",
bathbodyworks,Bath & Body Works,"Les Wexner who owns L Brands, the parent company of Bath&Body Works, is a staunch ally of Israel, and a long time business partner of Jeffrey Epstein, the convicted child trafficker.[^1]
Don't buy Bath&Body Works products.
Don't work for Bath&Body Works.
[^1]: https://www.timesofisrael.com/the-relationship-between-epstein-and-jewish-philanthropist-wexner-explained/",avoid,operations_in_israel,global,cosmetics,,https://i.pinimg.com/originals/b1/df/c2/b1dfc2670f0ba2913a3aaca3b12630ae.jpg,,"Lush cosmetics
Unbranded oil based perfumes
Sunnamusk",
bayerpharmaceuticals,Bayer Pharmaceuticals,"Bayer Pharmaceuticals invests in Israel.[^1]
Don't buy Bayer Pharmaceuticals products.
Don't sell Bayer Pharmaceuticals products.
Check the details on packaging before you buy over the counter.
Don't prescribe Bayer Pharmaceuticals products.
[^1]: https://www.timesofisrael.com/pharma-giant-bayer-scouts-israeli-startup-scene-in-search-of-competitive-edge/",avoid,operations_in_israel,global,pharmaceuticals,,https://download.logo.wine/logo/Bayer/Bayer-Logo.wine.png,,Ask pharmacist for non Bayer alternatives,
bensoriginals,Ben's Originals,"The owner of Ben's Originals, Mars, supports the zionist state by investing heavily in the foodtech startup scene through venture capital partner JVC.[^1]
Don't buy Ben's Originals products.
Don't sell Ben's Originals products.
Don't work for Mars.
[^1]: https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners",avoid,operations_in_israel,global,food,,https://aus.mars.com/sites/g/files/jydpyr531/files/styles/brands_grid/public/2023-07/FINAL%20Bens%20Original%20Orange_RBG_1080x1080.jpeg,,"Supermarket own brand options.
Eat whole foods instead of confectionary.",
bigpanda,BigPanda,"BigPanda is an Israeli tech company[^1]
Don't buy BigPanda products/services
Don't sell BigPanda products/services
Don't work for BigPanda
[^1]: https://buyisraelitech.com/database/bigpanda",avoid,operations_in_israel,global,"technology, development",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/9e6a12c9-aa3b-4e14-836b-431162780bfb/Screenshot_2023-10-30_at_13.54.10/w=450,,,
blinkops,Blink Ops,"Blink Ops is an Israeli tech company[^1]
Don't buy Blink Ops products/services
Don't sell Blink Ops products/services
Don't work for Blink Ops
[^1]: https://buyisraelitech.com/database/blink-ops",avoid,operations_in_israel,global,"technology, security",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/7d2e58c8-5b85-4229-a772-24a8dd826ed4/Logomark_Dark_x3/w=450,,,
bnpparibas,BNP Paribas,"BNP Paribas was part of a $500m loan deal with a consortium of lenders, into Elbit Systems Ltd, the Israeli weapons manufacturer.[^1]
Don't bank with BNP Paribas
Don't work for BNP Paribas
Don't invest with BNP Paribas
[^1]: https://breachmedia.ca/revealed-bmo-bankrolled-israeli-weapons-maker-with-a-90m-loan/",avoid,operations_in_israel,global,finance,,https://www.fintechfutures.com/files/2017/04/BNP-Paribas.png,,,
bob,Bob,"Bob is an Israeli tech company[^1]
Don't buy Bob products/services
Don't sell Bob products/services
Don't work for Bob
[^1]: https://buyisraelitech.com/database/hibob",avoid,operations_in_israel,global,"technology, hr",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/7788b68c-35e2-4d63-8c4b-e7a470ffe8e9/bob_logo_Trans_red/w=450,,,
